Titles,Prices,Links,Market
Asus Quadro A100 80GB,"18.490,00€",https://www.bestprice.gr/item/2157981385/asus-quadro-a100-80gb.html,Σε 1 κατάστημα
Asus Quadro A100 40GB,"12.188,00€",https://www.bestprice.gr/item/2157981387/asus-quadro-a100-40gb.html,Σε 1 κατάστημα
HP Quadro GV100 32GB,"11.245,00€",https://www.bestprice.gr/item/2155993929/hp-quadro-gv100-32gb.html,Σε 1 κατάστημα
PNY Quadro RTX 8000 48GB Passive,"7.718,00€",https://www.bestprice.gr/item/2156583298/pny-quadro-rtx-8000-48gb-passive.html,Σε 1 κατάστημα
PNY Quadro RTX A6000 48GB,"6.266,00€",https://www.bestprice.gr/item/2156580932/pny-quadro-rtx-a6000-48gb.html,Σε 1 κατάστημα
Asus Quadro A40 48GB,"6.093,17€",https://www.bestprice.gr/item/2157981388/asus-quadro-a40-48gb.html,Σε 1 κατάστημα
Asus Quadro A100 80GB,"5.576,22€",https://www.bestprice.gr/item/2157981386/asus-quadro-a100-80gb.html,Σε 1 κατάστημα
Asus Quadro RTX A6000 48GB,"5.544,71€",https://www.bestprice.gr/item/2157990592/asus-quadro-rtx-a6000-48gb.html,Σε 1 κατάστημα
Asus Quadro RTX 6000 24GB,"4.722,74€",https://www.bestprice.gr/item/2157978733/asus-quadro-rtx-6000-24gb.html,Σε 3 καταστήματα
Asus Quadro A16 4X 16GB,"4.341,82€",https://www.bestprice.gr/item/2157981389/asus-quadro-a16-4x-16gb.html,Σε 1 κατάστημα
PNY GeForce RTX 3090 24GB XLR8 Gaming EPIC-X RGB,"3.779,23€",https://www.bestprice.gr/item/2157023753/pny-geforce-rtx-3090-24gb-xlr8-gaming-epic-x-rgb.html,Σε 1 κατάστημα
Lenovo Quadro RTX A5000 24GB,"3.718,50€",https://www.bestprice.gr/item/2157767391/lenovo-quadro-rtx-a5000-24gb.html,Σε 1 κατάστημα
Asus Quadro A10 24GB,"3.518,43€",https://www.bestprice.gr/item/2157981390/asus-quadro-a10-24gb.html,Σε 1 κατάστημα
Fujitsu Quadro RTX 5000 16GB,"3.340,78€",https://www.bestprice.gr/item/2156180124/fujitsu-quadro-rtx-5000-16gb.html,Σε 1 κατάστημα
Asus GeForce RTX 3080 10GB TUF Gaming OC,"2.999,99€",https://www.bestprice.gr/item/2156289621/asus-geforce-rtx-3080-10gb-tuf-gaming-oc.html,Σε 1 κατάστημα
Asus TESLA T4 16GB,"2.855,41€",https://www.bestprice.gr/item/2157990591/asus-tesla-t4-16gb.html,Σε 1 κατάστημα
Fujitsu Quadro RTX A5000 24GB,"2.835,76€",https://www.bestprice.gr/item/2157688154/fujitsu-quadro-rtx-a5000-24gb.html,Σε 1 κατάστημα
Gigabyte Aorus GeForce RTX 3090 24GB Xtreme,"2.717,00€",https://www.bestprice.gr/item/2156479257/gigabyte-aorus-geforce-rtx-3090-24gb-xtreme.html,Σε 1 κατάστημα
MSI GeForce RTX 4090 24GB Suprim X,"2.699,98€",https://www.bestprice.gr/item/2157941861/msi-geforce-rtx-4090-24gb-suprim-x.html,Σε 1 κατάστημα
MSI GeForce RTX 4090 24GB Gaming X Trio,"2.657,08€",https://www.bestprice.gr/item/2157941865/msi-geforce-rtx-4090-24gb-gaming-x-trio.html,Σε 2 καταστήματα
Asus Quadro RTX A5000 24GB,"2.650,64€",https://www.bestprice.gr/item/2157990593/asus-quadro-rtx-a5000-24gb.html,Σε 1 κατάστημα
Gigabyte Aorus GeForce RTX 4090 24GB Master,"2.649,00€",https://www.bestprice.gr/item/2157961296/gigabyte-aorus-geforce-rtx-4090-24gb-master.html,Σε 1 κατάστημα
HP Quadro RTX 5000 16GB,"2.649,00€",https://www.bestprice.gr/item/2155666707/hp-quadro-rtx-5000-16gb.html,Σε 1 κατάστημα
MSI GeForce RTX 4090 24GB Gaming Trio,"2.599,99€",https://www.bestprice.gr/item/2157941866/msi-geforce-rtx-4090-24gb-gaming-trio.html,Σε 1 κατάστημα
AMD Radeon Pro VII 16GB,"2.539,30€",https://www.bestprice.gr/item/2157023739/amd-radeon-pro-vii-16gb.html,Σε 1 κατάστημα
Asus Radeon RX 6800 XT 16GB TUF Gaming OC,"654,85€",https://www.bestprice.gr/item/2156457142/asus-radeon-rx-6800-xt-16gb-tuf-gaming-oc.html?bpref=cat_deals_side,Σε 7 καταστήματα
Sapphire Radeon RX 6900 XT 16GB Toxic,"824,67€",https://www.bestprice.gr/item/2156967593/sapphire-radeon-rx-6900-xt-16gb-toxic.html?bpref=cat_deals_side,Σε 8 καταστήματα
Gigabyte Radeon RX 6600 XT 8GB Gaming Pro OC,"439,75€",https://www.bestprice.gr/item/2156893332/gigabyte-radeon-rx-6600-xt-8gb-gaming-pro-oc.html?bpref=cat_deals_side,Σε 8 καταστήματα
Manli GeForce GTX 1660 Super 6GB Blower,"212,54€",https://www.bestprice.gr/item/2156102022/manli-geforce-gtx-1660-super-6gb-blower.html?bpref=cat_deals_side,Σε 5 καταστήματα
Lenovo Quadro RTX 5000 16GB,"1.851,50€",https://www.bestprice.gr/item/2157491764/lenovo-quadro-rtx-5000-16gb.html?bpref=cat_deals_side,Σε 3 καταστήματα
Gigabyte GeForce RTX 4090 24GB Windforce,"2.499,00€",https://www.bestprice.gr/item/2157961297/gigabyte-geforce-rtx-4090-24gb-windforce.html,Σε 1 κατάστημα
Gainward GeForce RTX 3090 24GB Phoenix,"2.494,88€",https://www.bestprice.gr/item/2156248048/gainward-geforce-rtx-3090-24gb-phoenix.html,Σε 1 κατάστημα
MSI GeForce RTX 3090 Ti 24GB Suprim X,"2.400,00€",https://www.bestprice.gr/item/2157451887/msi-geforce-rtx-3090-ti-24gb-suprim-x.html,Σε 2 καταστήματα
Evga GeForce RTX 3090 24GB FTW3 Ultra Gaming,"2.378,78€",https://www.bestprice.gr/item/2156640015/evga-geforce-rtx-3090-24gb-ftw3-ultra-gaming.html,Σε 2 καταστήματα
Asus Quadro RTX A4500 20GB,"2.362,80€",https://www.bestprice.gr/item/2157990594/asus-quadro-rtx-a4500-20gb.html,Σε 1 κατάστημα
Gainward GeForce RTX 3080 Ti 12GB Phantom,"2.264,21€",https://www.bestprice.gr/item/2157305482/gainward-geforce-rtx-3080-ti-12gb-phantom.html,Σε 1 κατάστημα
PNY Quadro RTX A5000 24GB With ECC,"2.253,73€",https://www.bestprice.gr/item/2156786161/pny-quadro-rtx-a5000-24gb-with-ecc.html,Σε 5 καταστήματα
PNY Quadro RTX A5000 24GB,"2.228,43€",https://www.bestprice.gr/item/2156700390/pny-quadro-rtx-a5000-24gb.html,Σε 7 καταστήματα
Asrock Radeon RX 6900 XT 16GB OC Formula,"2.195,32€",https://www.bestprice.gr/item/2156802608/asrock-radeon-rx-6900-xt-16gb-oc-formula.html,Σε 5 καταστήματα
Dell GeForce RTX 3090 24GB,"2.087,00€",https://www.bestprice.gr/item/2157806394/dell-geforce-rtx-3090-24gb.html,Σε 1 κατάστημα
AFOX GeForce RTX 3090 24GB,"2.087,00€",https://www.bestprice.gr/item/2157806390/afox-geforce-rtx-3090-24gb.html,Σε 1 κατάστημα
KFA2 GeForce RTX 3090 Ti 24GB EX Gamer OC,"2.069,76€",https://www.bestprice.gr/item/2157924878/kfa2-geforce-rtx-3090-ti-24gb-ex-gamer-oc.html,Σε 1 κατάστημα
Palit GeForce RTX 3070 8GB GameRock OC,"2.063,00€",https://www.bestprice.gr/item/2156420867/palit-geforce-rtx-3070-8gb-gamerock-oc.html,Σε 1 κατάστημα
PNY Quadro RTX 5000 16GB,"1.965,88€",https://www.bestprice.gr/item/2155493305/pny-quadro-rtx-5000-16gb.html,Σε 13 καταστήματα
Evga GeForce RTX 3080 Ti 12GB FTW3 Ultra Gaming,"1.876,05€",https://www.bestprice.gr/item/2156891540/evga-geforce-rtx-3080-ti-12gb-ftw3-ultra-gaming.html,Σε 2 καταστήματα
Lenovo Quadro RTX 5000 16GB,"1.851,50€",https://www.bestprice.gr/item/2157491764/lenovo-quadro-rtx-5000-16gb.html,Σε 3 καταστήματα
AMD Radeon Pro WX 9100 16GB,"1.829,00€",https://www.bestprice.gr/item/2155826316/amd-radeon-pro-wx-9100-16gb.html,Σε 2 καταστήματα
Inno3D GeForce RTX 3080 Ti 12GB iChill X4,"1.810,40€",https://www.bestprice.gr/item/2157174221/inno3d-geforce-rtx-3080-ti-12gb-ichill-x4.html,Σε 1 κατάστημα
Palit GeForce RTX 3080 Ti 12GB GameRock,"1.807,00€",https://www.bestprice.gr/item/2156776574/palit-geforce-rtx-3080-ti-12gb-gamerock.html,Σε 1 κατάστημα
Gigabyte Aorus GeForce RTX 3080 Ti 12GB Master,"1.798,02€",https://www.bestprice.gr/item/2156766007/gigabyte-aorus-geforce-rtx-3080-ti-12gb-master.html,Σε 1 κατάστημα
